Yıl,16-24 Toplam,16-24 Erkek,16-24 Kadın,25-34 Toplam,25-34 Erkek,25-34 Kadın,35-44 Toplam,35-44 Erkek,35-44 Kadın,45-54 Toplam,45-54 Erkek,45-54 Kadın,55-64 Toplam,55-64 Erkek,55-64 Kadın,65-74 Toplam,65-74 Erkek,65-74 Kadın
2004,"26,6","38,3","15,9","15,7","21,5","9,9","9,4","13,9","4,9","5,5","9,3","1,7","1,6","2,7","0,6","0,4","0,9","0,1"
2005,"27,8","37,4","18,8","16,7","22,5","10,6","9,7","14,3","5,0","6,3","10,1","2,4","2,3","3,8","0,9","0,9","1,8","0,1"
2007,"50,4","63,5","36,2","32,3","41,5","23,1","23,8","33,2","14,4","14,8","23,2","6,5","4,8","7,5","1,8","1,4","2,1","0,6"
2008,"54,8","67,1","43,4","41,4","52,3","30,4","29,3","37,7","20,8","19,4","27,1","11,6","6,9","11,9","2,2","1,6","2,5","0,9"
2009,"59,4","74,1","46,0","45,1","57,2","32,9","30,2","40,3","19,9","18,6","26,7","10,5","6,2","9,5","3,1","2,0","3,1","1,2"
2010,"62,9","76,6","49,9","50,6","60,9","40,2","34,7","43,5","25,7","22,4","31,9","12,9","7,8","12,6","3,2","2,7","4,2","1,6"
2011,"65,8","76,5","55,9","55,1","65,4","44,9","39,7","50,4","28,9","22,7","32,1","13,2","10,4","16,0","5,0","2,7","4,5","1,2"
2012,"67,7","80,6","55,4","58,5","69,6","47,2","42,6","53,3","31,8","25,5","34,8","16,2","11,9","18,5","5,6","3,6","6,4","1,3"
2013,"68,7","80,1","57,5","58,8","69,1","48,4","45,6","56,7","34,4","24,9","34,7","15,1","11,1","16,8","5,7","4,2","7,5","1,5"
2014,"73,0","82,8","63,2","67,1","76,8","57,4","52,0","63,7","40,2","30,4","40,7","20,0","15,3","21,5","9,3","5,0","8,8","1,8"
2015,"77,0","85,1","68,9","71,7","81,3","62,0","55,4","69,0","41,7","34,0","43,7","24,2","17,2","22,9","11,6","5,6","8,8","2,8"
2016,"84,3","92,0","76,5","78,8","86,7","70,7","65,4","77,2","53,5","41,3","51,8","30,6","21,0","28,9","13,3","8,8","12,5","5,8"
2017,"87,2","91,5","82,9","85,7","92,6","78,7","73,9","84,0","63,8","51,7","62,5","40,9","27,2","34,9","19,8","11,3","15,6","7,5"
2018,"90,7","94,7","86,5","90,1","94,5","85,6","80,7","88,3","73,0","61,5","71,8","51,1","39,2","47,8","30,8","17,0","23,0","11,9"
2019,"90,8","94,8","86,6","91,7","95,2","88,2","85,9","91,9","79,9","68,5","77,3","59,6","42,6","52,2","33,2","19,8","25,3","15,0"
2020,"91,8","93,8","89,7","93,5","96,3","90,7","89,1","94,6","83,6","74,8","82,7","66,8","50,9","59,2","42,8","27,1","34,9","20,4"
2021,"95,7","97,2","94,1","95,8","98,0","93,7","90,9","95,7","86,1","80,1","87,3","73,0","58,6","66,4","50,9","32,5","40,0","25,9"
2022,"95,5","96,4","94,5","96,5","97,8","95,2","92,6","96,3","88,8","83,6","89,3","77,9","64,2","71,2","57,4","36,6","43,8","30,3"
2023,"96,6","97,7","95,5","97,7","98,7","96,7","94,6","96,7","92,5","88,6","93,2","84,0","68,1","75,8","60,5","40,7","49,8","32,7"
